ID,ano,numero_questao,enunciado,alternativas,resposta_correta,prova_cor
80,2014,163,"Um cliente de uma videolocadora tem o hábito de alugar dois filmes por vez. Quando os devolve, sempre pega outros dois filmes e assim sucessivamente. Ele soube que a videolocadora recebeu alguns lançamentos, sendo 8 filmes de ação, 5 de comédia e 3 de drama e, por isso, estabeleceu uma estratégia para ver todos esses 16 lançamentos. Inicialmente alugará, em cada vez, um filme de ação e um de comédia. Quando se esgotarem as possibilidades de comédia, o cliente alugará um filme de ação e um de drama, até que todos os lançamentos sejam vistos e sem que nenhum filme seja repetido.De quantas formas distintas a estratégia desse cliente poderá ser posta em prática?",A) 20 x 8! + (3!)^2B) 8! x 5! x 3!C) (8! x 5! x 3!) / 2^8D) (8! x 5! x 3!) / 2^2E) 16! / 2^8,B,verde
81,2014,164,"O psicólogo de uma empresa aplica um teste para analisar a aptidão de um candidato a determinado cargo. O teste consiste em uma série de perguntas cujas respostas devem ser verdadeiro ou falso e termina quando o psicólogo fizer a décima pergunta ou quando o candidato der a segunda resposta errada. Com base em testes anteriores, o psicólogo sabe que a probabilidade de o candidato errar uma resposta é 0,20.A probabilidade de o teste terminar na quinta pergunta é:","a) 0,2048b) 0,08192c) 0,24000d) 0,40960e) 0,49152",B,verde
82,2014,167,"Uma empresa farmacêutica produz medicamentos em pílulas, cada uma na forma de um cilindro com uma semiesfera com o mesmo raio do cilindro em cada uma de suas extremidades. Essas pílulas são moldadas por uma máquina programada para que os cilindros tenham sempre $10$ mm de comprimento, adequando o raio de acordo com o volume desejado.Um medicamento é produzido em pílulas com $5$ mm de raio. Para facilitar a deglutição, deseja-se produzir esse medicamento diminuindo o raio para $4$ mm, e, por consequência, seu volume. Isso exige a reprogramação da máquina que produz essas pílulas.Use $3$ como valor aproximado para $\pi$.A redução do volume da pílula, em milímetros cúbicos, após a reprogramação da máquina, será igual a",a) 168b) 304c) 306d) 378e) 514,E,verde
83,2014,168,"O Brasil é um país com uma vantagem econômica clara no terreno dos recursos naturais, dispondo de uma das maiores áreas com vocação agrícola do mundo. Especialistas calculam que, dos 853 milhões de hectares do país, as cidades, as reservas indígenas e as áreas de preservação, incluindo florestas e mananciais, cubram por volta de 470 milhões de hectares. Aproximadamente 280 milhões se destinam à agropecuária, 200 milhões para pastagens e 80 milhões para a agricultura, somadas as lavouras anuais e as perenes, como o café e a fruticultura.FORTES, G. “Recuperação de pastagens é alternativa para ampliar cultivos”.Folha de S. Paulo, 30 out. 2011.De acordo com os dados apresentados, o percentual correspondente à área utilizada para agricultura em relação à área do território brasileiro é mais próximo de","a) 32,8%b) 28,6%c) 10,7%d) 9,4%e) 8,0%",D,verde
84,2014,171,"Uma ponte precisa ser dimensionada de forma que possa ter três pontos de sustentação. Sabe-se que a carga máxima suportada pela ponte será de $12$ t. O ponto de sustentação central receberá $60\%$ da carga da ponte, e o restante da carga será distribuído igualmente entre os outros dois pontos de sustentação.No caso de carga máxima, as cargas recebidas pelos três pontos de sustentação serão, respectivamente,","a) 1,8 t; 8,4 t; 1,8 t.b) 3,0 t; 6,0 t; 3,0 t.c) 2,4 t; 7,2 t; 2,4 t.d) 3,6 t; 4,8 t; 3,6 t.e) 4,2 t; 3,6 t; 4,2 t.",C,verde
85,2014,173,"A maior piscina do mundo, registrada no livro Guiness, está localizada no Chile, em San Alfonso del Mar, cobrindo um terreno de 8 hectares de área.Sabe-se que 1 hectare corresponde a 1 hectômetro quadrado.Qual é o valor, em metros quadrados, da área coberta pelo terreno da piscina?",a) 8b) 80c) 800d) 8.000e) 80.000,E,verde
86,2014,174,"Durante uma epidemia de uma gripe viral, o secretário de saúde de um município comprou 16 galões de álcool em gel, com 4 litros de capacidade cada um, para distribuir igualmente em recipientes para 10 escolas públicas do município. O fornecedor dispõe à venda diversos tipos de recipientes, com suas respectivas capacidades listadas:- Recipiente I: $0, 125$ litro- Recipiente II: $0, 250$ litro- Recipiente III: $0, 320$ litro- Recipiente IV: $0, 500$ litro- Recipiente V: $0, 800$ litroO secretário de saúde comprará recipientes de um mesmo tipo, de modo a instalar 20 deles em cada escola, abastecidos com álcool em gel na sua capacidade máxima, de forma a utilizar todo o gel dos galões de uma só vez.Que tipo de recipiente o secretário de saúde deve comprar?",a) Ib) IIc) IIId) IVe) V,C,verde
87,2014,175,"Os vidros para veículos produzidos por certo fabricante têm transparências entre $70\%$ e $90\%$, dependendo do lote fabricado. Isso significa que, quando um feixe luminoso incide no vidro, uma parte entre $70\%$ e $90\%$ da luz consegue atravessá-lo. Os veículos equipados com vidros desse fabricante terão instaladas, nos vidros das portas, películas protetoras cuja transparência, dependendo do lote fabricado, estará entre $50\%$ e $70\%$. Considere que uma porcentagem $P$ da intensidade da luz, proveniente de uma fonte externa, atravessa o vidro e a película.De acordo com as informações, o intervalo das porcentagens que representam a variação total possível de $P$ é","A) [35 ; 63].

B) [40 ; 63].

C) [50 ; 70].

D) [50 ; 90].

E) [70 ; 90].",A,verde
88,2014,178,"Diariamente, uma residência consome20.160 Wh.Essa residência possui100células solares retangulares (dispositivos capazes de converter a luz solar em energia elétrica) de dimensões6 cm×8 cm.Cada uma das tais células produz, ao longo do dia,24 Whpor centímetro de diagonal. O proprietário dessa residência quer produzir, por dia, exatamente a mesma quantidade de energia que sua casa consome.Qual deve ser a ação desse proprietário para que ele atinja o seu objetivo?",a) Retirar16células.b) Retirar40células.c) Acrescentar5células.d) Acrescentar20células.e) Acrescentar40células.,A,verde
89,2014,179,"Uma pessoa compra semanalmente, numa mesma loja, sempre a mesma quantidade de um produto que custa R$ 10,00 a unidade. Como já sabe quanto deve gastar, leva sempre R$ 6,00 a mais do que a quantia necessária para comprar tal quantidade, para o caso de eventuais despesas extras. Entretanto, um dia, ao chegar à loja, foi informada de que o preço daquele produto havia aumentado 20%. Devido a esse reajuste, concluiu que o dinheiro levado era a quantia exata para comprar duas unidades a menos em relação à quantidade habitualmente comprada.A quantia que essa pessoa levava semanalmente para fazer a compra era:","a) R$ 166,00.b) R$ 156,00.c) R$ 84,00.d) R$ 46,00.e) R$ 24,00.",B,verde
90,2014,180,"Um executivo sempre viaja entre as cidades A e B, que estão localizadas em fusos horários distintos. O tempo de duração da viagem de avião entre as duas cidades é de 6 horas. Ele sempre pega um voo que sai de A às 15h e chega à cidade B às 18h (respectivos horários locais).Certo dia, ao chegar à cidade B, soube que precisava estar de volta à cidade A, no máximo, até às 13h do dia seguinte (horário local de A).Para que o executivo chegue à cidade A no horário correto e admitindo que não haja atrasos, ele deve pegar um voo saindo da cidade B, em horário local de B, no máximo à(s)",a) 16h.b) 10h.c) 7h.d) 4h.e) 1h.,D,verde
91,2015,154,"O gerente de um cinema fornece anualmente ingressos gratuitos para escolas. Este ano, serão distribuídos 400 ingressos para uma sessão vespertina e 320 ingressos para uma sessão noturna de um mesmo filme. Várias escolas podem ser escolhidas para receberem ingressos. Há alguns critérios para a distribuição dos ingressos:1) cada escola deverá receber ingressos para uma única sessão;2) todas as escolas contempladas deverão receber o mesmo número de ingressos;3) não haverá sobra de ingressos (ou seja, todos os ingressos serão distribuídos).O número mínimo de escolas que podem ser escolhidas para obter ingressos, segundo os critérios estabelecidos, é",a) 2.b) 4.c) 9.d) 40.e) 80.,E,verde
92,2015,156,"Um casal realiza um financiamento imobiliário de R$ 180.000,00, a ser pago em 360 prestações mensais, com taxa de juros efetiva de 1% ao mês. A primeira prestação é paga um mês após a liberação dos recursos e o valor da prestação mensal é de R$ 500,00 mais juro de 1% sobre o saldo devedor (valor devido antes do pagamento). Observe que, a cada pagamento, o saldo devedor se reduz em R$ 500,00 e considere que não há prestação em atraso.Efetuando o pagamento dessa forma, o valor, em reais, a ser pago ao banco na décima prestação é de","a) 2.075,00b) 2.093,00c) 2.138,00d) 2.255,00e) 2.300,00",D,verde
93,2015,162,"Um arquiteto está reformando uma casa. De modo a contribuir com o meio ambiente, decide reaproveitar tábuas de madeira retiradas da casa. Ele dispõe de 40 tábuas de 540 cm, 30 de 810 cm e 10 de 1.080 cm, todas de mesma largura e espessura. Ele pediu a um carpinteiro que cortasse as tábuas em pedaços de mesmo comprimento, sem deixar sobras, e de modo que as novas peças ficassem com o maior tamanho possível, mas de comprimento menor que 2 m.Atendendo ao pedido do arquiteto, o carpinteiro deverá produzir",a) 105 peças.b) 120 peças.c) 210 peças.d) 243 peças.e) 420 peças.,E,verde
94,2015,137,"O tampo de vidro de uma mesa quebrou-se e deverá ser substituído por outro que tenha a forma de círculo. O suporte de apoio da mesa tem o formato de um prisma reto, de base em forma de triângulo equilátero com lados medindo 30 cm.Uma loja comercializa cinco tipos de tampos de vidro circulares com cortes já padronizados, cujos raios medem 18 cm, 26 cm, 30 cm, 35 cm e 60 cm. O proprietário da mesa deseja adquirir nessa loja o tampo de menor diâmetro que seja suficiente para cobrir a base superior do suporte da mesa.Considere 1,7 como aproximação para $\sqrt{3}$.O tampo a ser escolhido será aquele cujo raio, em centímetros, é igual a",a) 18b) 26c) 30d) 35e) 60,A,verde
95,2015,141,"Uma fábrica de sorvetes utiliza embalagens plásticas no formato de paralelepípedo retangular reto. Internamente, a embalagem tem 10 cm de altura e base de 20 cm por 10 cm. No processo de confecção do sorvete, uma mistura é colocada na embalagem no estado líquido e, quando levada ao congelador, tem seu volume aumentado em 25%, ficando com consistência cremosa.Inicialmente é colocada na embalagem uma mistura sabor chocolate com volume de $1.000 \text{ cm}^3$ e, após essa mistura ficar cremosa, será adicionada uma mistura sabor morango, de modo que, ao final do processo de congelamento, a embalagem fique completamente preenchida com sorvete, sem transbordar.O volume máximo, em $cm^3$, da mistura sabor morango que deverá ser colocado na embalagem é",A) 450. B) 500. C) 600. D) 750. E) 1.000.,C,verde
96,2015,142,"Em uma central de atendimento, cem pessoas receberam senhas numeradas de 1 até 100. Uma das senhas é sorteada ao acaso.Qual é a probabilidade de a senha sorteada ser um número de 1 a 20?",A) 1/100B) 19/100C) 20/100D) 21/100E) 80/100,C,verde
97,2015,146,"Para resolver o problema de abastecimento de água foi decidida, numa reunião do condomínio, a construção de uma nova cisterna. A cisterna atual tem formato cilíndrico, com 3 m de altura e 2 m de diâmetro, e estimou-se que a nova cisterna deverá comportar $81 \text{ m}^3$ de água, mantendo o formato cilíndrico e a altura da atual. Após a inauguração da nova cisterna a antiga será desativada.Utilize 3,0 como aproximação para $\pi$.Qual deve ser o aumento, em metros, no raio da cisterna para atingir o volume desejado?","a) 0,5b) 1,0c) 2,0d) 3,5e) 8,0",C,verde
98,2015,149,"Para o modelo de um troféu foi escolhido um poliedro $P$, obtido a partir de cortes nos vértices de um cubo. Com um corte plano em cada um dos cantos do cubo, retira-se o canto, que é um tetraedro de arestas menores do que metade da aresta do cubo. Cada face do poliedro $P$, então, é pintada usando uma cor distinta das demais faces.Com base nas informações, qual é a quantidade de cores que serão utilizadas na pintura das faces do troféu?",a) 6b) 8.c) 14d) 24e) 30,C,verde
99,2015,150,"Uma padaria vende, em média, 100 pães especiais por dia e arrecada com essas vendas, em média, R$ 300,00. Constatou-se que a quantidade de pães especiais vendidos diariamente aumenta, caso o preço seja reduzido, de acordo com a equação$$q = 400 - 100p,$$na qual $q$ representa a quantidade de pães especiais vendidos diariamente e $p$, o seu preço em reais.A fim de aumentar o fluxo de clientes, o gerente da padaria decidiu fazer uma promoção. Para tanto, modificará o preço do pão especial de modo que a quantidade a ser vendida diariamente seja a maior possível, sem diminuir a média de arrecadação diária na venda desse produto.O preço $p$, em reais, do pão especial nessa promoção deverá estar no intervalo","A) R$ 0,50 <= p < R$ 1,50B) R$ 1,50 <= p < R$ 2,50C) R$ 2,50 <= p < R$ 3,50D) R$ 3,50 <= p < R$ 4,50E) R$ 4,50 <= p < R$ 5,50",A,verde
100,2015,151,"O HPV é uma doença sexualmente transmissível. Uma vacina com eficácia de 98% foi criada com o objetivo de prevenir a infecção por HPV e, dessa forma, reduzir o número de pessoas que venham a desenvolver câncer de colo de útero. Uma campanha de vacinação foi lançada em 2014 pelo SUS, para um público-alvo de meninas de 11 a 13 anos de idade. Considera-se que, em uma população não vacinada, o HPV acomete 50% desse público ao longo de suas vidas. Em certo município, a equipe coordenadora da campanha decidiu vacinar meninas entre 11 e 13 anos de idade em quantidade suficiente para que a probabilidade de uma menina nessa faixa etária, escolhida ao acaso, vir a desenvolver essa doença seja, no máximo, de 5,9%. Houve cinco propostas de cobertura, de modo a atingir essa meta:Proposta I: vacinação de 90% do público-alvo.Proposta II: vacinação de 55,8% do público-alvo.Proposta III: vacinação de 88,2% do público-alvo.Proposta IV: vacinação de 49% do público-alvo.Proposta V: vacinação de 95,9% do público-alvo.Para diminuir os custos, a proposta escolhida deveria ser também aquela que vacinasse a menor quantidade possível de pessoas.Disponível em: www.virushpv.com.br. Acesso em: 30 ago. 2014 (adaptado)A proposta implementada foi a de número",a) I.b) II.c) III.d) IV.e) V.,A,verde
101,2015,152,"O acréscimo de tecnologias no sistema produtivo industrial tem por objetivo reduzir custos e aumentar a produtividade. No primeiro ano de funcionamento, uma indústria fabricou 8.000 unidades de um determinado produto. No ano seguinte, investiu em tecnologia adquirindo novas máquinas e aumentou a produção em 50%. Estima-se que esse aumento percentual se repita nos próximos anos, garantindo um crescimento anual de 50%. Considere $P$ a quantidade anual de produtos fabricados no ano $t$ de funcionamento da indústria.Se a estimativa for alcançada, qual é a expressão que determina o número de unidades produzidas $P$ em função de $t$, para $t \geq 1$?","A) P(t) = 0,5 * t^(-1) + 8.000B) P(t) = 50 * t^(-1) + 8.000C) P(t) = 4.000 * t^(-1) + 8.000D) P(t) = 8.000 * (0,5)^(t-1)E) P(t) = 8.000 * (1,5)^(t-1)",E,verde
102,2015,154,"O gerente de um cinema fornece anualmente ingressos gratuitos para escolas. Este ano, serão distribuídos 400 ingressos para uma sessão vespertina e 320 ingressos para uma sessão noturna de um mesmo filme. Várias escolas podem ser escolhidas para receberem ingressos. Há alguns critérios para a distribuição dos ingressos:1) cada escola deverá receber ingressos para uma única sessão;2) todas as escolas contempladas deverão receber o mesmo número de ingressos;3) não haverá sobra de ingressos (ou seja, todos os ingressos serão distribuídos).O número mínimo de escolas que podem ser escolhidas para obter ingressos, segundo os critérios estabelecidos, é",a) 2.b) 4.c) 9.d) 40.e) 80.,E,verde
103,2015,156,"Um casal realiza um financiamento imobiliário de R$ 180.000,00, a ser pago em 360 prestações mensais, com taxa de juros efetiva de 1% ao mês. A primeira prestação é paga um mês após a liberação dos recursos e o valor da prestação mensal é de R$ 500,00 mais juro de 1% sobre o saldo devedor (valor devido antes do pagamento). Observe que, a cada pagamento, o saldo devedor se reduz em R$ 500,00 e considere que não há prestação em atraso.Efetuando o pagamento dessa forma, o valor, em reais, a ser pago ao banco na décima prestação é de","a) 2.075,00b) 2.093,00c) 2.138,00d) 2.255,00e) 2.300,00",D,verde
104,2015,158,"A expressão ""Fórmula de Young"" é utilizada para calcular a dose infantil de um medicamento, dada a dose do adulto:$$\text{dose de criança} = \left( \frac{\text{idade da criança (em anos)}}{\text{idade da criança (em anos)} + 12} \right) \cdot \text{dose de adulto}$$Uma enfermeira deve administrar um medicamento $X$ a uma criança inconsciente, cuja dosagem de adulto é de 60 mg. A enfermeira não consegue descobrir onde está registrada a idade da criança no prontuário, mas identifica que, algumas horas antes, foi administrada a ela uma dose de 14 mg de um medicamento $Y$, cuja dosagem de adulto é 42 mg. Sabe-se que a dose da medicação $Y$ administrada à criança estava correta.Então, a enfermeira deverá ministrar uma dosagem do medicamento $X$, em miligramas, igual a",a) 15b) 20c) 30d) 36e) 40,B,verde
105,2015,159,"Segundo dados apurados no Censo 2010, para uma população de 101,8 milhões de brasileiros com 10 anos ou mais de idade e que teve algum tipo de rendimento em 2010, a renda média mensal apurada foi de R$ 1.202,00. A soma dos rendimentos mensais dos 10% mais pobres correspondeu a apenas 1,1% do total de rendimentos dessa população considerada, enquanto que a soma dos rendimentos mensais dos 10% mais ricos correspondeu a 44,5% desse total.Disponível em: www.estadao.com.br. Acesso em: 16 nov. 2011(adaptado).Qual foi a diferença, em reais, entre a renda média mensal de um brasileiro que estava na faixa dos 10% mais ricos e de um brasileiro que estava na faixa dos 10% mais pobres?","a) 240,40b) 548,11c) 1.723,67d) 4.026,70e) 5.216,68",E,verde
106,2015,162,"Um arquiteto está reformando uma casa. De modo a contribuir com o meio ambiente, decide reaproveitar tábuas de madeira retiradas da casa. Ele dispõe de 40 tábuas de 540 cm, 30 de 810 cm e 10 de 1.080 cm, todas de mesma largura e espessura. Ele pediu a um carpinteiro que cortasse as tábuas em pedaços de mesmo comprimento, sem deixar sobras, e de modo que as novas peças ficassem com o maior tamanho possível, mas de comprimento menor que 2 m.Atendendo ao pedido do arquiteto, o carpinteiro deverá produzir",a) 105 peças.b) 120 peças.c) 210 peças.d) 243 peças.e) 420 peças.,E,verde
107,2015,166,"Alguns exames médicos requerem uma ingestão de água maior do que a habitual. Por recomendação médica, antes do horário do exame, uma paciente deveria ingerir 1 copo de água de 150 mililitros a cada meia hora, durante as 10 horas que antecederiam um exame. A paciente foi a um supermercado comprar água e verificou que havia garrafas dos seguintes tipos:Garrafa I: 0,15 litroGarrafa II: 0,30 litroGarrafa III: 0,75 litroGarrafa IV: 1,50 litroGarrafa V: 3,00 litrosA paciente decidiu comprar duas garrafas do mesmo tipo, procurando atender à recomendação médica e, ainda, de modo a consumir todo o líquido das duas garrafas antes do exame.Qual o tipo de garrafa escolhida pela paciente?",a) Ib) IIc) IIId) IVe) V,D,verde
108,2015,168,"Em uma escola, a probabilidade de um aluno compreender e falar inglês é de 30%. Três alunos dessa escola, que estão em fase final de seleção de intercâmbio, aguardam, em uma sala, serem chamados para uma entrevista. Mas, ao invés de chamá-los um a um, o entrevistador entra na sala e faz, oralmente, uma pergunta em inglês que pode ser respondida por qualquer um dos alunos.A probabilidade de o entrevistador ser entendido e ter sua pergunta oralmente respondida em inglês é","a) 23,7%b) 30,0%c) 44,1%d) 65,7%e) 90,0%",D,verde
109,2015,170,Um concurso é composto por cinco etapas. Cada etapa vale 100 pontos. A pontuação final de cada candidato é a média de suas notas nas cinco etapas. A classificação obedece à ordem decrescente das pontuações finais. O critério de desempate baseia-se na maior pontuação na quinta etapa.\begin{tabular}{|c|c|c|}\hlineCandidato & Média nas quatro primeiras etapas & Pontuação na quinta etapa \\\hlineA & 90 & 60 \\\hlineB & 85 & 85 \\\hlineC & 80 & 95 \\\hlineD & 60 & 90 \\\hlineE & 60 & 100 \\\hline\end{tabular}A ordem de classificação final desse concurso é,"a) A, B, C, E, D.b) B, A, C, E, D.c) C, B, E, A, D.d) C, B, E, D, A.e) E, C, D, B, A.",B,verde
110,2015,171,"O índice pluviométrico é utilizado para mensurar a precipitação da água da chuva, em milímetros, em determinado período de tempo. Seu cálculo é feito de acordo com o nível de água da chuva acumulada em 1 m², ou seja, se o índice for de 10 mm, significa que a altura do nível de água acumulada em um tanque aberto, em formato de um cubo com 1 m² de área de base, é de 10 mm. Em uma região, após um forte temporal, verificou-se que a quantidade de chuva acumulada em uma lata de formato cilíndrico, com raio 300 mm e altura 1 200 mm, era de um terço da sua capacidade.Utilize 3,0 como aproximação para π.O índice pluviométrico da região, durante o período do temporal, em milímetros, é de:","a) 10,8b) 12,0c) 32,4d) 108,0e) 324,0",D,verde
111,2015,173,"Deseja-se comprar lentes para óculos. As lentes devem ter espessuras mais próximas possíveis da medida 3 mm. No estoque de uma loja, há lentes de espessuras: 3,10 mm; 3,021 mm; 2,96 mm; 2,099 mm e 3,07 mm.Se as lentes forem adquiridas nessa loja, a espessura escolhida será, em milímetros, de","a) 2,009b) 2,96c) 3,021d) 3,07e) 3,10",C,verde
112,2015,178,"Para economizar em suas contas mensais de água, uma família de 10 pessoas deseja construir um reservatório para armazenar a água captada das chuvas, que tenha capacidade suficiente para abastecer a família por 20 dias. Cada pessoa da família consome, diariamente, 0,08 m3de água. Para que os objetivos da família sejam atingidos, a capacidade mínima, em litros, do reservatório a ser construído deve ser",A) 16.B) 800.C) 1.600.D) 8.000.E) 16.000.,E,verde
113,2015,179,"Uma competição esportiva envolveu 20 equipes com atletas 10 cada. Uma denúncia à organização dizia que um dos atletas havia utilizado substância proibida.Os organizadores, então, decidiram fazer um exameantidoping.Foram propostos três modos diferentes para escolher os atletas que irão realizá-lo:Modo I: sortear três atletas dentre todos os participantes;Modo II: sortear primeiro uma das equipes e, desta, sortear três atletas;Modo III: sortear primeiro três equipes e, então, sortear um atleta de cada uma dessas três equipes.Considere que todos os atletas têm igual probabilidade de serem sorteados e que P(I), P(II) e P(III) sejam as probabilidades de o atleta que utilizou a substância proibida seja um dos escolhidos para o exame no caso do sorteio ser feito pelo modo I, II ou III.Comparando-se essas probabilidades, obtém-se",A) P(I) < P(III) < P(II) B) P(II) < P(I) < P(III) C) P(I) < P(II) = P(III) D) P(I) = P(II) < P(III) E) P(I) = P(II) = P(III),E,verde
114,2015,180,"Segundo o Instituto Brasileiro de Geografia e Estatística (IBGE), produtos sazonais são aqueles que apresentam ciclos bem definidos de produção, consumo e preço. Resumidamente, existem épocas do ano em que a sua disponibilidade nos mercados varejistas ora é escassa, com preços elevados, ora é abundante, com preços mais baixos, o que ocorre no mês de produção máxima da safra.A partir de uma série histórica, observou-se que o preço $P$, em reais, do quilograma de um certo produto sazonal pode ser descrito pela função $P(x) = 8 + 5\cos\left(\frac{\pi x - \pi}{6}\right)$, onde $x$ representa o mês do ano, sendo $x = 1$ associado ao mês de janeiro, $x = 2$ ao mês de fevereiro, e assim sucessivamente, até $x = 12$ associado ao mês de dezembro.Disponível em: www.ibge.gov.br. Acesso em: 2 ago. 2012 (adaptado).Na safra, o mês de produção máxima desse produto é",a) janeiro.b) abril.c) junho.d) julho.e) outubro.,D,verde
115,2016,145,"O setor de recursos humanos de uma empresa pretende fazer contratações para adequar-se ao artigo 93 da Lei nº. 8.213/91, que dispõe:Art. 93. A empresa com 100 (cem) ou mais empregados está obrigada a preencher de 2% (dois por cento) a 5% (cinco por cento) dos seus cargos com beneficiários reabilitados ou pessoas com deficiência, habilitadas, na seguinte proporção:I. até 200 empregados ..................................... 2%;II. de 201 a 500 empregados ........................    3%;III. de 501 a 1.000 empregados .....................    4%;IV. de 1.001 em diante ..................................... 5%.Disponível em: www.planalto.gov.br. Acesso em: 3 fev. 2015.Constatou-se que a empresa possui 1.200 funcionários, dos quais 10 são reabilitados ou com deficiência, habilitados.Para adequar-se à referida lei, a empresa contratará apenas empregados que atendem ao perfil indicado no artigo 93.O número mínimo de empregados reabilitados ou com deficiência, habilitados, que deverá ser contratado pela empresa é",a) 74.b) 70.c) 64.d) 60.e) 53.,E,verde
116,2016,146,"Uma pessoa comercializa picolés. No segundo dia de certo evento ela comprou 4 caixas de picolés, pagando R$ 16,00 a caixa com 20 picolés para revendê-los no evento. No dia anterior, ela havia comprado a mesma quantidade de picolés, pagando a mesma quantia, e obtendo um lucro de R$ 40,00 (obtido exclusivamente pela diferença entre o valor de venda e o de compra dos picolés) com a venda de todos os picolés que possuía.Pesquisando o perfil do público que estará presente no evento, a pessoa avalia que será possível obter um lucro 20% maior do que o obtido com a venda no primeiro dia do evento.Para atingir seu objetivo, e supondo que todos os picolés disponíveis foram vendidos no segundo dia, o valor de venda de cada picolé, no segundo dia, deve ser","a) R$ 0,96.b) R$ 1,00.c) R$ 1,40.d) R$ 1,50.e) R$ 1,56.",C,verde
117,2016,160,"Uma liga metálica sai do forno a uma temperatura de $3.000 \, ^\circ\text{C}$ e diminui $1\%$ de sua temperatura a cada $30 \text{ min}$.Use $0,477$ como aproximação para $\log_{10}(3)$ e $1,041$ como aproximação para $\log_{10}(11)$.O tempo decorrido, em hora, até que a liga atinja $30 \, ^\circ\text{C}$ é mais próximo de",a) 22.b) 50.c) 100.d) 200.e) 400.,D,verde
118,2016,145,"O setor de recursos humanos de uma empresa pretende fazer contratações para adequar-se ao artigo 93 da Lei nº. 8.213/91, que dispõe:Art. 93. A empresa com 100 (cem) ou mais empregados está obrigada a preencher de 2% (dois por cento) a 5% (cinco por cento) dos seus cargos com beneficiários reabilitados ou pessoas com deficiência, habilitadas, na seguinte proporção:I. até 200 empregados ..................................... 2%;II. de 201 a 500 empregados ........................    3%;III. de 501 a 1.000 empregados .....................    4%;IV. de 1.001 em diante ..................................... 5%.Disponível em: www.planalto.gov.br. Acesso em: 3 fev. 2015.Constatou-se que a empresa possui 1.200 funcionários, dos quais 10 são reabilitados ou com deficiência, habilitados.Para adequar-se à referida lei, a empresa contratará apenas empregados que atendem ao perfil indicado no artigo 93.O número mínimo de empregados reabilitados ou com deficiência, habilitados, que deverá ser contratado pela empresa é",a) 74.b) 70.c) 64.d) 60.e) 53.,E,verde
119,2016,146,"Uma pessoa comercializa picolés. No segundo dia de certo evento ela comprou 4 caixas de picolés, pagando R$ 16,00 a caixa com 20 picolés para revendê-los no evento. No dia anterior, ela havia comprado a mesma quantidade de picolés, pagando a mesma quantia, e obtendo um lucro de R$ 40,00 (obtido exclusivamente pela diferença entre o valor de venda e o de compra dos picolés) com a venda de todos os picolés que possuía.Pesquisando o perfil do público que estará presente no evento, a pessoa avalia que será possível obter um lucro 20% maior do que o obtido com a venda no primeiro dia do evento.Para atingir seu objetivo, e supondo que todos os picolés disponíveis foram vendidos no segundo dia, o valor de venda de cada picolé, no segundo dia, deve ser","a) R$ 0,96.b) R$ 1,00.c) R$ 1,40.d) R$ 1,50.e) R$ 1,56.",C,verde
120,2016,147,"O tênis é um esporte em que a estratégia de jogo a ser adotada depende, entre outros fatores, de o adversário ser canhoto ou destro.Um clube tem um grupo de 10 tenistas, sendo que 4 são canhotos e 6 são destros. O técnico do clube deseja realizar uma partida de exibição entre dois desses jogadores, porém, não poderão ser ambos canhotos.Qual o número de possibilidades de escolha dos tenistas para a partida de exibição?",A) 10! / (2! x 8!) - 4! / (2! x 2!) B) 10! / 8! - 4! / 2! C) 10! / (2! x 8!) - 2 D) 6! / 4! + 4 x 4 E) 6! / 4! + 6 x 4,A,verde
121,2016,150,"Para a construção de isolamento acústico numa parede cuja área mede $9$ $m^2$, sabe-se que, se a fonte sonora estiver a 3 m do plano da parede, o custo é de R\$ 500,00. Nesse tipo de isolamento, a espessura do material que reveste a parede é inversamente proporcional ao quadrado da distância até a fonte sonora, e o custo é diretamente proporcional ao volume do material do revestimento.Uma expressão que fornece o custo para revestir uma parede de área A (em metro quadrado), situada a D metros da fonte sonora, é",A) (500 * 81) / (A * D^2) B) (500 * A) / D^2 C) (500 * D^2) / A D) (500 * A * D^2) / 81 E) (500 * 3 * D^2) / A,B,verde
122,2016,154,Cinco marcas de pão integral apresentam as seguintes concentrações de fibras (massa de fibra por massa de pão):- Marca A: $2$ $g$ de fibras a cada $50$ $g$ de pão - Marca B: $5$ $g$ de fibras a cada $40$ $g$ de pão- Marca C: $5$ $g$ de fibras a cada $100$ $g$ de pão - Marca E: $7$ $g$ de fibras a cada $70$ $g$ de pão.Recomenda-se a ingestão do pão que possui a maior concentração de fibras.Disponível em: www.blog.saude.gov.br. Acesso em: 25 fev. 2013.A marca a ser escolhida é,a) A.b) B.c) C.d) D.e) E.,B,verde
123,2016,156,"Para garantir a segurança de um grande evento público que terá início às $4$ $h$ da tarde, um organizador precisa monitorar a quantidade de pessoas presentes em cada instante. Para cada $2.000$ pessoas se faz necessária a presença de um policial. Além disso, estima-se uma densidade de quatro pessoas por metro quadrado de área de terreno ocupado. Às $10$ $h$ da manhã, o organizador verifica que a área de terreno já ocupada equivale a um quadrado com lados medindo $500$ $m$. Porém, nas horas seguintes, espera-se que o público aumente a uma taxa de $120.000$ pessoas por hora até o início do evento, quando não será mais permitida a entrada de público.Quantos policiais serão necessários no início do evento para garantir a segurança?",a) 360b) 485c) 560d) 740e) 860,E,verde
